Path *,Title *,Source ID *,Description,Author,Language,License ID *,License Description,Copyright Holder,Number Correct,Out of Total,Randomize,Thumbnail
VGISrestore/S.H.S./S.H.S. 2/English/Exercise 3 - Subject-verb agreement,Exercise 3 - Subject-verb agreement,Exercise_3_-_Subject-verb_agreement429c98d,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/English/Exercise 4 - The noun phrase,Exercise 4 - The noun phrase,Exercise_4_-_The_noun_phrase,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/English/Exercise 5 - Clauses,Exercise 5 - Clauses,Exercise_5_-_Clauses,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/Social Studies/Exercise 1 - Promoting national socio-economic development,Exercise 1 - Promoting national socio-economic development,Exercise_1_-_Promoting_national_socio-economic_development,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/Social Studies/Exercise 2 - Socialization and the social environment,Exercise 2 - Socialization and the social environment,Exercise_2_-_Socialization_and_the_social_environment,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/Social Studies/Exercise 3 - Leadership and followership,Exercise 3 - Leadership and followership,Exercise_3_-_Leadership_and_followership,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/Social Studies/Exercise 4 - Leadership and folowership,Exercise 4 - Leadership and folowership,Exercise_4_-_Leadership_and_folowership,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 2/Social Studies/Exercise 5 - Individual obligation in the family,Exercise 5 - Individual obligation in the family,Exercise_5_-_Individual_obligation_in_the_family,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/English/Exercise 1 - Prose (Studying specific text),Exercise 1 - Prose (Studying specific text),Exercise_1_-_Prose_(Studying_specific_text),Literature,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/English/Exercise 2 - Debate writing,Exercise 2 - Debate writing,Exercise_2_-_Debate_writing,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/English/Exercise 3 - Article writing,Exercise 3 - Article writing,Exercise_3_-_Article_writing,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/English/Exercise 4 - How to write a good summary I,Exercise 4 - How to write a good summary I,Exercise_4_-_How_to_write_a_good_summary_I,Summary,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/English/Exercise 5 - How to write a good summary II,Exercise 5 - How to write a good summary II,Exercise_5_-_How_to_write_a_good_summary_II,Summary,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/Social Studies/Exercise 1 - Education and societal change,Exercise 1 - Education and societal change,Exercise_1_-_Education_and_societal_change,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/Social Studies/Exercise 2 - The world of work and productivity,Exercise 2 - The world of work and productivity,Exercise_2_-_The_world_of_work_and_productivity,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/Social Studies/Exercise 3 - The world of work and entrepreneurship,Exercise 3 - The world of work and entrepreneurship,Exercise_3_-_The_world_of_work_and_entrepreneurship,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/Social Studies/Exercise 4 - Our culture and national identity,Exercise 4 - Our culture and national identity,Exercise_4_-_Our_culture_and_national_identity,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 3/Social Studies/Exercise 5 - Youth and national development,Exercise 5 - Youth and national development,Exercise_5_-_Youth_and_national_development,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
